team_spread,q1_trail_big,q2_trail,q3_lead,q4_lead_big,eff_n
7.5,0.12743316476524474,0.19110273920576298,0.31638634895646073,0.36507774707253143,1907.106200466054
8,0.12330330290259034,0.18930959116520626,0.31540374035365715,0.3719833655785461,1823.3374162123707
8.5,0.11903287869141861,0.18789282471079313,0.3146254884427145,0.37844880815507365,1699.917093435114
9,0.1143592996460394,0.18653803476655104,0.31429821600356855,0.384804449583841,1493.0851427233345
9.5,0.10932215140338264,0.18491229498028314,0.31457520051472304,0.39119035310161115,1253.086129619588
10,0.1041631775254619,0.18264926898241324,0.3154320440670759,0.3977555094250489,1056.4288508568113
10.5,0.09909871528343271,0.17936499541856288,0.3167015991681561,0.4048346901298483,928.0996618140779
11,0.09417711849864453,0.17472382249593474,0.3181720412033238,0.4129270178020968,853.6018240622343
11.5,0.08932659327152001,0.16862904792645053,0.319630656909028,0.42241370189300137,799.9333275519186
12,0.08452899571991927,0.1615308971718209,0.320841754878945,0.43309835222931486,724.170748101825
12.5,0.07995111678193025,0.15451076030481545,0.32155506457950367,0.4439830583337507,611.2994360778133
13,0.07584846580258217,0.14871078029901033,0.32160664478930767,0.4538341091090998,497.1638436343086
13.5,0.07230695978002323,0.14449758569625576,0.3210034094081093,0.46219204511561174,413.05938846692277
14,0.06913243943251521,0.1412825130345918,0.31986423059845986,0.469720816934433,359.4708734869325
14.5,0.06597658179024377,0.13801186901562337,0.3182855324040571,0.4777260167900757,324.6510018548992
15,0.06253387579954185,0.13371033078006564,0.31625332285036406,0.4875024705700284,295.44233866527475
15.5,0.05870895946216217,0.1278695298550769,0.31362843116843475,0.4997930795143261,259.2876444505589
16,0.05472824269576754,0.12076310629583202,0.31018765344745447,0.5143209975609458,210.89614191937707
16.5,0.05110794288200002,0.11355672501914846,0.3056923490463248,0.5296429830525267,159.53766959565664
17,0.04838416986755317,0.10789624524677421,0.29991735359616867,0.5438022312895039,118.21054271384041
17.5,0.046712843984530614,0.10502182948032938,0.29258717988252775,0.5556781466526123,90.41120807630755
