season,game_id,posteam,team_spread,n_plays,positive,neutral,negative
2006,2006_10_DAL_ARI,DAL,6.5,64,0.609375,0.390625,0
2006,2006_10_DEN_OAK,DEN,9,56,0.05357142857142857,0.9107142857142857,0.03571428571428571
2006,2006_10_DEN_OAK,LV,9,62,0.3225806451612903,0.6774193548387096,0
2006,2006_10_GB_MIN,GB,-5,66,0.3333333333333333,0.6666666666666666,0
2006,2006_10_GB_MIN,MIN,5,56,0.03571428571428571,0.7142857142857143,0.25
2006,2006_10_HOU_JAX,HOU,-10,78,0.5384615384615384,0.46153846153846156,0
2006,2006_10_HOU_JAX,JAX,10,55,0,0.6727272727272727,0.32727272727272727
2006,2006_10_KC_MIA,KC,-1,60,0,0.18333333333333332,0.8166666666666667
2006,2006_10_KC_MIA,MIA,1,71,0.7746478873239436,0.22535211267605634,0
2006,2006_10_NO_PIT,NO,-6.5,77,0.09090909090909091,0.45454545454545453,0.45454545454545453
2006,2006_10_NO_PIT,PIT,6.5,55,0.36363636363636365,0.6181818181818182,0.01818181818181818
2006,2006_10_NYJ_NE,NE,10.5,65,0,0.8615384615384616,0.13846153846153847
2006,2006_10_NYJ_NE,NYJ,-10.5,63,0.20634920634920634,0.7936507936507936,0
2006,2006_10_SD_CIN,CIN,-1,72,0.6388888888888888,0.25,0.1111111111111111
2006,2006_10_SD_CIN,LAC,1,63,0.06349206349206349,0.42857142857142855,0.5079365079365079
2006,2006_10_SF_DET,DET,6.5,50,0,0.28,0.72
2006,2006_10_SF_DET,SF,-6.5,64,0.6875,0.3125,0
2006,2006_10_STL_SEA,LA,-3,64,0,0.953125,0.046875
2006,2006_10_STL_SEA,SEA,3,54,0,1,0
2006,2006_10_TB_CAR,CAR,10,62,0.25806451612903225,0.7419354838709677,0
2006,2006_10_TB_CAR,TB,-10,57,0.05263157894736842,0.6491228070175439,0.2982456140350877
2006,2006_10_WAS_PHI,PHI,9,58,0.8275862068965517,0.1724137931034483,0
2006,2006_10_WAS_PHI,WAS,-9,62,0,0.22580645161290322,0.7741935483870968
2006,2006_11_ATL_BAL,ATL,-3.5,50,0,0.86,0.14
2006,2006_11_ATL_BAL,BAL,3.5,65,0.27692307692307694,0.7230769230769231,0
2006,2006_11_BUF_HOU,BUF,-3,60,0.13333333333333333,0.8166666666666667,0.05
2006,2006_11_BUF_HOU,HOU,3,59,0.23728813559322035,0.6101694915254238,0.15254237288135594
2006,2006_11_CHI_NYJ,CHI,5.5,57,0.2631578947368421,0.7368421052631579,0
2006,2006_11_CHI_NYJ,NYJ,-5.5,65,0,0.7076923076923077,0.2923076923076923
2006,2006_11_CIN_NO,CIN,-3.5,53,0.18867924528301888,0.8113207547169812,0
2006,2006_11_CIN_NO,NO,3.5,76,0,0.7368421052631579,0.2631578947368421
2006,2006_11_DET_ARI,ARI,2.5,57,0.49122807017543857,0.5087719298245614,0
2006,2006_11_DET_ARI,DET,-2.5,62,0,0.3064516129032258,0.6935483870967742
2006,2006_11_IND_DAL,DAL,-1,57,0.10526315789473684,0.8947368421052632,0
2006,2006_11_IND_DAL,IND,1,63,0,0.9365079365079365,0.06349206349206349
2006,2006_11_MIN_MIA,MIA,3,56,0.10714285714285714,0.8928571428571429,0
2006,2006_11_MIN_MIA,MIN,-3,82,0.024390243902439025,0.7926829268292683,0.18292682926829268
2006,2006_11_NE_GB,GB,-5.5,48,0,0.2916666666666667,0.7083333333333334
2006,2006_11_NE_GB,NE,5.5,68,0.6911764705882353,0.3088235294117647,0
2006,2006_11_NYG_JAX,JAX,4,72,0.5972222222222222,0.4027777777777778,0
2006,2006_11_NYG_JAX,NYG,-4,56,0,0.19642857142857142,0.8035714285714286
2006,2006_11_OAK_KC,KC,9,54,0,1,0
2006,2006_11_OAK_KC,LV,-9,60,0.05,0.8833333333333333,0.06666666666666667
2006,2006_11_PIT_CLE,CLE,-4,61,0.5245901639344263,0.4426229508196721,0.03278688524590164
2006,2006_11_PIT_CLE,PIT,4,66,0,0.3939393939393939,0.6060606060606061
2006,2006_11_SD_DEN,DEN,2.5,65,0.24615384615384617,0.6615384615384615,0.09230769230769231
2006,2006_11_SD_DEN,LAC,-2.5,56,0.08928571428571429,0.6071428571428571,0.30357142857142855
2006,2006_11_SEA_SF,SEA,3,54,0,0.2962962962962963,0.7037037037037037
