season,week,player_name,market,line,over_odds,under_odds,sportsbook,recorded_at
2026,1,Pat Freiermuth,anytime_td,NA,NA,NA,NA,2026-07-15 20:53:46
2026,1,Josh Palmer,anytime_td,NA,NA,NA,NA,2026-07-15 20:53:46
2026,1,Dee Eskridge,anytime_td,NA,NA,NA,NA,2026-07-15 20:53:46
2026,1,John Bates,anytime_td,NA,NA,NA,NA,2026-07-15 20:53:46
2026,1,Dyami Brown,anytime_td,NA,NA,NA,NA,2026-07-15 20:53:46
2026,1,Adam Prentice,anytime_td,NA,NA,NA,NA,2026-07-15 20:53:46
2026,1,Jack Stoll,anytime_td,NA,NA,NA,NA,2026-07-15 20:53:46
2026,1,Jaret Patterson,anytime_td,NA,NA,NA,NA,2026-07-15 20:53:46
2026,1,Brock Wright,anytime_td,NA,NA,NA,NA,2026-07-15 20:53:46
2026,1,Tyler Allgeier,anytime_td,NA,NA,NA,NA,2026-07-15 20:53:46
2026,1,John FitzPatrick,anytime_td,NA,NA,NA,NA,2026-07-15 20:53:46
2026,1,Drake London,anytime_td,NA,NA,NA,NA,2026-07-15 20:53:46
2026,1,Tyler Badie,anytime_td,NA,NA,NA,NA,2026-07-15 20:53:46
2026,1,Charlie Kolar,anytime_td,NA,NA,NA,NA,2026-07-15 20:53:46
2026,1,Isaiah Likely,anytime_td,NA,NA,NA,NA,2026-07-15 20:53:46
2026,1,James Cook,anytime_td,NA,NA,NA,NA,2026-07-15 20:53:46
2026,1,Khalil Shakir,anytime_td,NA,NA,NA,NA,2026-07-15 20:53:46
2026,1,Jake Tonges,anytime_td,NA,NA,NA,NA,2026-07-15 20:53:46
2026,1,Jerome Ford,anytime_td,NA,NA,NA,NA,2026-07-15 20:53:46
2026,1,Jake Ferguson,anytime_td,NA,NA,NA,NA,2026-07-15 20:53:46
2026,1,Jalen Tolbert,anytime_td,NA,NA,NA,NA,2026-07-15 20:53:46
2026,1,Jameson Williams,anytime_td,NA,NA,NA,NA,2026-07-15 20:53:46
2026,1,Romeo Doubs,anytime_td,NA,NA,NA,NA,2026-07-15 20:53:46
2026,1,Tyler Goodson,anytime_td,NA,NA,NA,NA,2026-07-15 20:53:46
2026,1,Christian Watson,anytime_td,NA,NA,NA,NA,2026-07-15 20:53:46
2026,1,Hassan Haskins,anytime_td,NA,NA,NA,NA,2026-07-15 20:53:46
2026,1,Chig Okonkwo,anytime_td,NA,NA,NA,NA,2026-07-15 20:53:46
2026,1,Alec Pierce,anytime_td,NA,NA,NA,NA,2026-07-15 20:53:46
2026,1,Skyy Moore,anytime_td,NA,NA,NA,NA,2026-07-15 20:53:46
2026,1,Isiah Pacheco,anytime_td,NA,NA,NA,NA,2026-07-15 20:53:46
2026,1,Kyren Williams,anytime_td,NA,NA,NA,NA,2026-07-15 20:53:46
2026,1,Jalen Nailor,anytime_td,NA,NA,NA,NA,2026-07-15 20:53:46
2026,1,Tyquan Thornton,anytime_td,NA,NA,NA,NA,2026-07-15 20:53:46
2026,1,Chris Olave,anytime_td,NA,NA,NA,NA,2026-07-15 20:53:46
2026,1,Daniel Bellinger,anytime_td,NA,NA,NA,NA,2026-07-15 20:53:46
2026,1,Wan'Dale Robinson,anytime_td,NA,NA,NA,NA,2026-07-15 20:53:46
2026,1,Breece Hall,anytime_td,NA,NA,NA,NA,2026-07-15 20:53:46
2026,1,Bam Knight,anytime_td,NA,NA,NA,NA,2026-07-15 20:53:46
2026,1,Jeremy Ruckert,anytime_td,NA,NA,NA,NA,2026-07-15 20:53:46
2026,1,Garrett Wilson,anytime_td,NA,NA,NA,NA,2026-07-15 20:53:46
2026,1,Trey McBride,anytime_td,NA,NA,NA,NA,2026-07-15 20:53:46
2026,1,Calvin Austin III,anytime_td,NA,NA,NA,NA,2026-07-15 20:53:46
