season,week,player_name,position,team,opponent,market,proj,line_eval,p_over_line,line,over_odds,under_odds,sportsbook,model_p_over,market_p_over,edge,lean
2026,1,T.J. Hockenson,TE,MIN,GB,receptions,3.082306470928412,3.5,0.3573099952005611,NA,NA,NA,NA,NA,NA,NA,NA
2026,1,T.J. Hockenson,TE,MIN,GB,anytime_td,0.18067165554815978,0.5,0.18067165554815978,NA,NA,NA,NA,NA,NA,NA,NA
2026,1,Marquise Brown,WR,KC,DEN,receptions,2.648495425566613,2.5,0.4371518900803124,NA,NA,NA,NA,NA,NA,NA,NA
2026,1,Marquise Brown,WR,KC,DEN,anytime_td,0.17031500591291104,0.5,0.17031500591291104,NA,NA,NA,NA,NA,NA,NA,NA
2026,1,Noah Fant,TE,CIN,TB,receptions,2.383596445754507,2.5,0.38046088620734897,NA,NA,NA,NA,NA,NA,NA,NA
2026,1,Noah Fant,TE,CIN,TB,anytime_td,0.17571765586383603,0.5,0.17571765586383603,NA,NA,NA,NA,NA,NA,NA,NA
2026,1,Justice Hill,RB,BAL,IND,receptions,2.0096105114348037,2.5,0.31561382742965555,NA,NA,NA,NA,NA,NA,NA,NA
2026,1,Justice Hill,RB,BAL,IND,anytime_td,0.20672521359194218,0.5,0.20672521359194218,NA,NA,NA,NA,NA,NA,NA,NA
2026,1,David Montgomery,RB,DET,NO,receptions,1.2571202347554122,1.5,0.3315755802624608,NA,NA,NA,NA,NA,NA,NA,NA
2026,1,David Montgomery,RB,DET,NO,anytime_td,0.3226764108505068,0.5,0.3226764108505068,NA,NA,NA,NA,NA,NA,NA,NA
2026,1,Andrew Beck,RB,NYJ,TEN,receptions,0.8153014121598228,0.5,0.5159234951224648,NA,NA,NA,NA,NA,NA,NA,NA
2026,1,Andrew Beck,RB,NYJ,TEN,anytime_td,0.07564416697919962,0.5,0.07564416697919962,NA,NA,NA,NA,NA,NA,NA,NA
2026,1,Greg Dortch,WR,ARI,LAC,receptions,1.97149476718079,1.5,0.47041630541703316,NA,NA,NA,NA,NA,NA,NA,NA
2026,1,Greg Dortch,WR,ARI,LAC,anytime_td,0.12201785565735757,0.5,0.12201785565735757,NA,NA,NA,NA,NA,NA,NA,NA
2026,1,Dawson Knox,TE,BUF,HOU,receptions,2.251037291759805,2.5,0.3708331661120825,NA,NA,NA,NA,NA,NA,NA,NA
2026,1,Dawson Knox,TE,BUF,HOU,anytime_td,0.1563549092628458,0.5,0.1563549092628458,NA,NA,NA,NA,NA,NA,NA,NA
2026,1,DK Metcalf,WR,PIT,ATL,receptions,4.257072582700672,4.5,0.4067105780135945,NA,NA,NA,NA,NA,NA,NA,NA
2026,1,DK Metcalf,WR,PIT,ATL,anytime_td,0.3060530326774178,0.5,0.3060530326774178,NA,NA,NA,NA,NA,NA,NA,NA
2026,1,Josh Oliver,TE,MIN,GB,receptions,1.4450068757943617,1.5,0.38638428880913955,NA,NA,NA,NA,NA,NA,NA,NA
2026,1,Josh Oliver,TE,MIN,GB,anytime_td,0.11881532052086607,0.5,0.11881532052086607,NA,NA,NA,NA,NA,NA,NA,NA
2026,1,Tony Pollard,RB,TEN,NYJ,receptions,1.5551860904549177,1.5,0.4076144833218592,NA,NA,NA,NA,NA,NA,NA,NA
